Buchungsnummer	Kontonummer	Kontobezeichnung	Belegdatum	Belegnummer	Buchungstext	Kostentr‰ger	Kostenstelle	Steuerschl¸ssel	Gegenkonto	Sollbetrag EUR	Habenbetrag EUR	USt-Konto	USt-%	SPLIT1
26	00144	EDV-Software	22.06.17	23	PAYPAL *SOFT BILLIG 35314369001 006				01710	60,00			0,00	
207	00144	EDV-Software	22.06.17	23	<Storno> PAYPAL *SOFT BILLIG 35314369001 006				01710	-60,00			0,00	
27	00144	EDV-Software	03.07.17	24	PAYPAL *SOFT BILLIG 35314369001 006				01710	60,00			0,00	
205	00144	EDV-Software	03.07.17	24	<Storno> PAYPAL *SOFT BILLIG 35314369001 006				01710	-60,00			0,00	
19	00144	EDV-Software	19.07.17	18	EaseUS Partition Master Server Free lifetime upgrade 12.0 - #115880314				01700	285,60			0,00	
20	00144	EDV-Software	19.07.17	18	<Storno> EaseUS Partition Master Server Free lifetime upgrade 12.0 - #115880314				01700	-285,60			0,00	
21	00144	EDV-Software	19.07.17	19	EaseUS Partition Master Server Free lifetime upgrade 12.0 - #115880314				01710	285,60			0,00	
209	00144	EDV-Software	19.07.17	19	<Storno> EaseUS Partition Master Server Free lifetime upgrade 12.0 - #115880314				01710	-285,60			0,00	
22	00144	EDV-Software	27.07.17	20	PAYPAL *MICROSOFT STOR 35314369001 006				01710	99,00			0,00	
23	00144	EDV-Software	27.07.17	21	EaseUS Partition Master Professional Free lifetime upgrade 12.0 - #115877157				01710	65,39			0,00	
24	00144	EDV-Software	27.07.17	22	PAYPAL *CLEVERBRIDG 35314369001 000				01710	60,00			0,00	
25	00144	EDV-Software	27.07.17	22	<Storno> PAYPAL *CLEVERBRIDG 35314369001 000				01710	-60,00			0,00	
211	00144	EDV-Software	27.07.17	20	<Storno> PAYPAL *MICROSOFT STOR 35314369001 006				01710	-99,00			0,00	
213	00144	EDV-Software	27.07.17	21	<Storno> EaseUS Partition Master Professional Free lifetime upgrade 12.0 - #1158				01710	-65,39			0,00	
2.317	01401	Abziehbare Vorsteuer 7 %	17.03.17	1278		Single Tageskarte MVV - DB, Auﬂenraum (Ring 5-16)	MVV			01600		0,43		0,00	
2.248	01401	Abziehbare Vorsteuer 7 %	19.03.17	1218	Single Tageskarte MVV - DB, Auﬂenraum (Ring 5-16)	MVV	÷PNV		01600	0,43			0,00	
1.826	01401	Abziehbare Vorsteuer 7 %	06.05.17	1077	Single Tageskarte Außenraum München-Riem, Ringe 5-16 - DB	DB	÷PNV		01600	0,43			0,00	
1.828	01401	Abziehbare Vorsteuer 7 %	06.05.17	1077	<Storno> Single Tageskarte Außenraum München-Riem, Ringe 5-16 - DB	DB	÷PNV		01600	-0,43			0,00	
1.646	01401	Abziehbare Vorsteuer 7 %	19.05.17	738	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	0,33			0,00	
2.116	01401	Abziehbare Vorsteuer 7 %	19.05.17	738	<Storno> KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	-0,33			0,00	
2.231	01401	Abziehbare Vorsteuer 7 %	01.06.17	1208	Oberl‰nder Str. Nord	M-ZO 523 | 7	KVR		01600	0,39			0,00	
2.233	01401	Abziehbare Vorsteuer 7 %	01.06.17	1208	<Storno> Oberl‰nder Str. Nord	M-ZO 523 | 7	KVR		01600	-0,39			0,00	
2.235	01401	Abziehbare Vorsteuer 7 %	02.06.17	1211	Kreisverwaltungsreferat (KVR)	M-ZO 523 | 7	KVR		01600	1,31			0,00	
