Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
00520	Pkw	20.12.18	0,00	0,00	12.881,51	0,00	12.881,51	0,00	12.881,51	0,00
00670	Geringwertige Wirtschaftsgüter	31.12.18	0,00	0,00	663,87	790,00	663,87	790,00	0,00	126,13
01401	Abziehbare Vorsteuer 7 %	11.12.18	0,00	0,00	930,92	42,41	930,92	42,41	888,51	0,00
01406	Abziehbare Vorsteuer 19 %	31.12.18	0,00	0,00	6.102,35	67,76	6.102,35	67,76	6.034,59	0,00
01460	Geldtransit	21.12.18	0,00	0,00	56.003,69	56.003,69	56.003,69	56.003,69	0,00	0,00
01600	Kasse	31.12.18	6.303,78	0,00	9.636,97	14.193,07	9.636,97	14.193,07	1.747,68	0,00
01610	Nebenkasse 1	01.01.18	1.798,08	0,00	0,00	0,00	0,00	0,00	1.798,08	0,00
01700	Bank Girokonto Coba	31.12.18	16.649,41	0,00	115.334,16	131.084,96	115.334,16	131.084,96	898,61	0,00
01710	Bank Kreditkarte Coba	27.12.18	3.250,78	0,00	5.311,41	8.562,19	5.311,41	8.562,19	0,00	0,00
01720	Bank Tagesgeldkonto Coba	13.09.18	19.590,14	0,00	2.000,00	21.500,00	2.000,00	21.500,00	90,14	0,00
01750	Bank Kreditkarte2 Coba	27.12.18	0,00	0,00	18.553,50	20.437,91	18.553,50	20.437,91	0,00	1.884,41
02100	Privatentnahmen allgemein	29.12.18	0,00	0,00	1.095,84	104,50	1.095,84	104,50	991,34	0,00
02101	Privat Tanken	19.12.18	0,00	0,00	1.815,29	0,00	1.815,29	0,00	1.815,29	0,00
02102	Privat Restaurant	31.12.18	0,00	0,00	2.678,49	186,21	2.678,49	186,21	2.492,28	0,00
02103	Privat Parken	31.12.18	0,00	0,00	306,00	25,10	306,00	25,10	280,90	0,00
02104	Privat Miete	27.12.18	0,00	0,00	8.278,18	0,00	8.278,18	0,00	8.278,18	0,00
02105	Privat Reisen	31.12.18	0,00	0,00	15.598,48	374,70	15.598,48	374,70	15.223,78	0,00
02107	Privat Bussgeld	31.12.18	0,00	0,00	1.217,56	0,00	1.217,56	0,00	1.217,56	0,00
02109	Privat Versicherungen	31.12.18	0,00	0,00	8.115,33	8,00	8.115,33	8,00	8.107,33	0,00
02110	Privat Vereine	01.02.18	0,00	0,00	196,00	0,00	196,00	0,00	196,00	0,00
02111	Privat Freizeit	19.12.18	0,00	0,00	101,45	0,00	101,45	0,00	101,45	0,00
02112	Privatentnahmen Lebensmittel	24.12.18	0,00	0,00	462,24	0,00	462,24	0,00	462,24	0,00
02114	Privatentnahmen Kleidung	19.11.18	0,00	0,00	687,94	0,00	687,94	0,00	687,94	0,00
02115	Privat Auto	20.09.18	0,00	0,00	17.557,46	0,00	17.557,46	0,00	17.557,46	0,00
02116	Privat Visa	04.12.18	0,00	0,00	7.669,97	0,00	7.669,97	0,00	7.669,97	0,00
02117	Privat Fortbildung	02.08.18	0,00	0,00	20,00	0,00	20,00	0,00	20,00	0,00
02180	Privateinlagen	04.05.18	0,00	0,00	0,00	0,01	0,00	0,01	0,00	0,01
03806	Umsatzsteuer 19 %	21.12.18	0,00	0,00	0,00	14.378,54	0,00	14.378,54	0,00	14.378,54
03820	Umsatzsteuervorauszahlungen	14.12.18	0,00	0,00	19.165,94	0,00	19.165,94	0,00	19.165,94	0,00
03830	Umsatzsteuer-Vorauszahlungen 1/11	14.12.18	0,00	0,00	1.068,94	1.068,94	1.068,94	1.068,94	0,00	0,00
04400	Erlöse 19 % USt	21.12.18	0,00	0,00	0,00	75.676,50	0,00	75.676,50	0,00	75.676,50
06010	Löhne	23.03.18	0,00	0,00	0,00	1.064,58	0,00	1.064,58	0,00	1.064,58
06300	Sonstige betriebliche Aufwendungen	09.07.18	0,00	0,00	852,72	0,00	852,72	0,00	852,72	0,00
06392	Zuwendungen, Spenden für mildtätige Zwecke	17.12.18	0,00	0,00	336,00	0,00	336,00	0,00	336,00	0,00
06430	Sonstige Abgaben	11.12.18	0,00	0,00	250,52	0,00	250,52	0,00	250,52	0,00
06495	Wartungskosten für Hard- und Software	14.08.18	0,00	0,00	42,35	0,00	42,35	0,00	42,35	0,00
06520	Kfz-Versicherungen	02.01.18	0,00	0,00	1.052,03	0,00	1.052,03	0,00	1.052,03	0,00
06530	Laufende Kfz-Betriebskosten	24.12.18	0,00	0,00	4.380,54	162,10	4.380,54	162,10	4.218,44	0,00
06540	Kfz-Reparaturen	14.09.18	0,00	0,00	1.340,07	0,00	1.340,07	0,00	1.340,07	0,00
06570	Sonstige Kfz-Kosten	12.11.18	0,00	0,00	289,49	158,95	289,49	158,95	130,54	0,00
06630	Repräsentationskosten	09.04.18	0,00	0,00	195,13	0,00	195,13	0,00	195,13	0,00
06641	Eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil)	24.09.18	0,00	0,00	193,26	0,00	193,26	0,00	193,26	0,00
06670	Reisekosten Unternehmer	18.10.18	0,00	0,00	312,51	129,91	312,51	129,91	182,60	0,00
06673	Reisekosten Unternehmer, Fahrtkosten	20.12.18	0,00	0,00	1.610,24	54,79	1.610,24	54,79	1.555,45	0,00
06674	Reisekosten Unternehmer Verpflegungsmehraufwand	22.10.18	0,00	0,00	642,06	0,00	642,06	0,00	642,06	0,00
06680	Reisekosten UN Übernachtungsaufwand und Reisenebenkosten	22.10.18	0,00	0,00	13.165,19	456,78	13.165,19	456,78	12.708,41	0,00
06800	Porto	13.11.18	0,00	0,00	26,35	0,00	26,35	0,00	26,35	0,00
06805	Telefon	24.12.18	0,00	0,00	2.379,54	0,00	2.379,54	0,00	2.379,54	0,00
06810	Telefax und Internetkosten	11.12.18	0,00	0,00	1.001,76	0,00	1.001,76	0,00	1.001,76	0,00
06815	Bürobedarf	03.09.18	0,00	0,00	42,30	0,00	42,30	0,00	42,30	0,00
06821	Fortbildungskosten 	15.08.18	0,00	0,00	1.738,67	0,00	1.738,67	0,00	1.738,67	0,00
06837	Aufwendungen für Lizenzen, Konzessionen	31.12.18	0,00	0,00	1.095,10	0,00	1.095,10	0,00	1.095,10	0,00
06845	Werkzeuge und Kleingeräte	31.12.18	0,00	0,00	1.317,53	0,00	1.317,53	0,00	1.317,53	0,00
06850	Sonstiger Betriebsbedarf	22.06.18	0,00	0,00	218,74	0,00	218,74	0,00	218,74	0,00
06855	Nebenkosten des Geldverkehrs	31.12.18	0,00	0,00	276,01	0,00	276,01	0,00	276,01	0,00
07685	Kfz-Steuer	10.10.18	0,00	0,00	422,00	102,00	422,00	102,00	320,00	0,00
09000	Saldenvorträge Sachkonten	01.01.18	0,00	47.592,19	0,00	0,00	0,00	0,00	0,00	47.592,19
