Buchungsnummer	Kontonummer	Kontobezeichnung	Belegdatum	Belegnummer	Buchungstext	Kostenträger 	Kostenstelle 	Gegenkonto	Sollbetrag EUR	Habenbetrag EUR	USt-Konto	USt-%	SPLIT
1	00520	Pkw	01.01.20	1	EB-Wert			09000	406,96			0,00	
32	00520	Pkw	20.01.20	32	OLB 10179360 M-R7408 16 0120			01700	50,42		01406	19,00	
216	00520	Pkw	20.02.20	185	OLB 10179360 M-R7408 17 0220			01700	50,42		01406	19,00	
508	00520	Pkw	20.03.20	398	OLB 10179360 M-R7408 18 0320			01700	50,42		01406	19,00	
718	00520	Pkw	20.04.20	539	OLB 10179360 M-R7408 19 0420			01700	50,42		01406	19,00	
810	00520	Pkw	20.05.20	616	OLB 10179360 M-R7408 20 0520			01700	50,42		01406	19,00	
91	01401	Abziehbare Vorsteuer 7 %	08.01.20	84	OLB IC HOT. FRANKF. AIRPOR//FRANKFURT/D2020-01-06T10:03:02 KFN 1 VJ 2012 K			01700	11,64			0,00	
92	01401	Abziehbare Vorsteuer 7 %	13.01.20	85	OLB H+ HOTEL BERLIN-MITTE GIR 69275884/2020-01-11T02:53:53 KFN 1 VJ 2012 K			01700	4,01			0,00	
109	01401	Abziehbare Vorsteuer 7 %	15.01.20	99	Schankhalle Braugasthaus			01600	0,46			0,00	
119	01401	Abziehbare Vorsteuer 7 %	15.01.20	99	<Storno> Schankhalle Braugasthaus			01600	-0,46			0,00	
93	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	10,85			0,00	
93	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	1,22			0,00	
136	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-10,85			0,00	
136	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-1,22			0,00	
137	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	1,22			0,00	
138	01401	Abziehbare Vorsteuer 7 %	17.01.20	86	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-1,22			0,00	
139	01401	Abziehbare Vorsteuer 7 %	17.01.20	121	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	10,85			0,00	
139	01401	Abziehbare Vorsteuer 7 %	17.01.20	121	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	1,22			0,00	
140	01401	Abziehbare Vorsteuer 7 %	17.01.20	121	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-10,85			0,00	
140	01401	Abziehbare Vorsteuer 7 %	17.01.20	121	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-1,22			0,00	
141	01401	Abziehbare Vorsteuer 7 %	17.01.20	122	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	10,85			0,00	
98	01401	Abziehbare Vorsteuer 7 %	19.01.20	90	MVG Einzelfahrt			01600	0,22			0,00	
142	01401	Abziehbare Vorsteuer 7 %	19.01.20	90	<Storno> MVG Einzelfahrt			01600	-0,22			0,00	
110	01401	Abziehbare Vorsteuer 7 %	21.01.20	100	Impala Coffee, Berlin			01600	0,20			0,00	
144	01401	Abziehbare Vorsteuer 7 %	21.01.20	100	<Storno> Impala Coffee, Berlin			01600	-0,20			0,00	
111	01401	Abziehbare Vorsteuer 7 %	22.01.20	101	Impala Coffee, Berlin			01600	0,20			0,00	
146	01401	Abziehbare Vorsteuer 7 %	22.01.20	101	<Storno> Impala Coffee, Berlin			01600	-0,20			0,00	
76	01401	Abziehbare Vorsteuer 7 %	27.01.20	74	OLB FLUGHAFEN MUENCHEN GMBH GIR 69131772020-01-25T23:53:05 KFN 1 VJ 2012 K	M-R 7408		01700	1,18			0,00	
84	01401	Abziehbare Vorsteuer 7 %	27.01.20	74	<Storno> OLB FLUGHAFEN MUENCHEN GMBH GIR 69131772020-01-25T23:53:05 KFN 1 VJ 201	M-R 7408		01700	-1,18			0,00	
62	01401	Abziehbare Vorsteuer 7 %	28.01.20	60	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020.01.27T21.05.47 Folgenr.000 Ver	M-R 7408		01740	0,79			0,00	
86	01401	Abziehbare Vorsteuer 7 %	28.01.20	60	<Storno> OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020.01.27T21.05.47 Folgenr.000 	M-R 7408		01740	-0,79			0,00	
132	01401	Abziehbare Vorsteuer 7 %	03.02.20	117	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020.02.02T18.49.33 Folgenr.000 Ver	M-R 7408		01740	1,31			0,00	
148	01401	Abziehbare Vorsteuer 7 %	03.02.20	117	<Storno> OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020.02.02T18.49.33 Folgenr.000 	M-R 7408		01740	-1,31			0,00	
165	01401	Abziehbare Vorsteuer 7 %	05.02.20	134	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-04T14:49:03 KFN 1 VJ 2012 K	M-R 7408		01700	1,18			0,00	
166	01401	Abziehbare Vorsteuer 7 %	05.02.20	135	OLB RIEM ARCADEN//MUENCHEN/DE 2020-02-03T20:16:26 KFN 1 VJ 2012 Kartenzahl	M-R 7408		01700	0,29			0,00	
435	01401	Abziehbare Vorsteuer 7 %	05.02.20	135	<Storno> OLB RIEM ARCADEN//MUENCHEN/DE 2020-02-03T20:16:26 KFN 1 VJ 2012 Kartenz	M-R 7408		01700	-0,29			0,00	
441	01401	Abziehbare Vorsteuer 7 %	05.02.20	134	<Storno> OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-04T14:49:03 KFN 1 VJ 201	M-R 7408		01700	-1,18			0,00	
171	01401	Abziehbare Vorsteuer 7 %	07.02.20	140	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-06T21:55:26 KFN 1 VJ 2012 K	M-R 7408		01700	1,31			0,00	
439	01401	Abziehbare Vorsteuer 7 %	07.02.20	140	<Storno> OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-06T21:55:26 KFN 1 VJ 201	M-R 7408		01700	-1,31			0,00	
172	01401	Abziehbare Vorsteuer 7 %	10.02.20	141	OLB TOTAL Service Station//AUE/DE 2020-02-08T22:06:25 KFN 1 VJ 2012 Karten	M-R 7408		01700	0,72			0,00	
175	01401	Abziehbare Vorsteuer 7 %	10.02.20	144	OLB OIL TANKSTELLEN GMBH COKG sagt Dank2020-02-08T21:41:29 KFN1 VJ 2012 Ka	M-R 7408		01700	3,64			0,00	
399	01401	Abziehbare Vorsteuer 7 %	10.02.20	141	<Storno> OLB TOTAL Service Station//AUE/DE 2020-02-08T22:06:25 KFN 1 VJ 2012 Kar	M-R 7408		01700	-0,72			0,00	
405	01401	Abziehbare Vorsteuer 7 %	10.02.20	144	<Storno> OLB OIL TANKSTELLEN GMBH COKG sagt Dank2020-02-08T21:41:29 KFN1 VJ 2012	M-R 7408		01700	-3,64			0,00	
258	01401	Abziehbare Vorsteuer 7 %	11.02.20	218	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T01:11:34 KFN 1 VJ 2012 K			01700	8,01			0,00	
423	01401	Abziehbare Vorsteuer 7 %	11.02.20	218	<Storno> OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T01:11:34 KFN 1 VJ 201			01700	-8,01			0,00	
424	01401	Abziehbare Vorsteuer 7 %	11.02.20	320	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T01:11:34 KFN 1 VJ 2012 K			01700	7,11			0,00	
426	01401	Abziehbare Vorsteuer 7 %	11.02.20	320	<Storno> OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T01:11:34 KFN 1 VJ 201			01700	-7,11			0,00	
428	01401	Abziehbare Vorsteuer 7 %	11.02.20	321	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T01:11:34 KFN 1 VJ 2012 K			01700	7,11			0,00	
180	01401	Abziehbare Vorsteuer 7 %	12.02.20	149	OLB RIEM ARCADEN//MUENCHEN/DE 2020-02-10T20:40:15 KFN 1 VJ 2012 Kartenzahl	M-R 7408		01700	0,29			0,00	
312	01401	Abziehbare Vorsteuer 7 %	12.02.20	267	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-02-11T11:16:21 KFN 1 VJ 2012 K			01700	9,70			0,00	
436	01401	Abziehbare Vorsteuer 7 %	12.02.20	149	<Storno> OLB RIEM ARCADEN//MUENCHEN/DE 2020-02-10T20:40:15 KFN 1 VJ 2012 Kartenz	M-R 7408		01700	-0,29			0,00	
432	01401	Abziehbare Vorsteuer 7 %	17.02.20	323	OLB NR8676167015 AMSTERDAM NLKAUFUMSATZ13.02134406ARN742084700440000060823			01740	4,97			0,00	
430	01401	Abziehbare Vorsteuer 7 %	18.02.20	322	OLB NR8676167015 AMSTERDAM NLKAUFUMSATZ15.02110553ARN742084700460000045160			01740	5,59			0,00	
433	01401	Abziehbare Vorsteuer 7 %	18.02.20	322	<Storno> OLB NR8676167015 AMSTERDAM NLKAUFUMSATZ15.02110553ARN742084700460000045			01740	-5,59			0,00	
434	01401	Abziehbare Vorsteuer 7 %	18.02.20	324	OLB NR8676167015 AMSTERDAM NLKAUFUMSATZ15.02110553ARN742084700460000045160			01740	5,59			0,00	
207	01401	Abziehbare Vorsteuer 7 %	19.02.20	176	OLB POLLUX GRUNDSTUECKSGESELLS//HAMBURG2020-02-16T02:20:18 KFN 1 VJ 2012 K	M-R 7408		01700	0,98			0,00	
208	01401	Abziehbare Vorsteuer 7 %	19.02.20	177	OLB POLLUX GRUNDSTUECKSGESELLS//HAMBURG2020-02-13T00:24:48 KFN 1 VJ 2012 K	M-R 7408		01700	1,77			0,00	
401	01401	Abziehbare Vorsteuer 7 %	19.02.20	176	<Storno> OLB POLLUX GRUNDSTUECKSGESELLS//HAMBURG2020-02-16T02:20:18 KFN 1 VJ 201	M-R 7408		01700	-0,98			0,00	
403	01401	Abziehbare Vorsteuer 7 %	19.02.20	177	<Storno> OLB POLLUX GRUNDSTUECKSGESELLS//HAMBURG2020-02-13T00:24:48 KFN 1 VJ 201	M-R 7408		01700	-1,77			0,00	
416	01401	Abziehbare Vorsteuer 7 %	21.02.20	316	OLB Ibis Wien City//Wien/AT/1 2020-02-19T10:39:42 KFN 1 VJ 2012 Kartenzahl			01700	4,15			0,00	
418	01401	Abziehbare Vorsteuer 7 %	21.02.20	317	OLB Ibis Wien City//Wien/AT/1 2020-02-18T23:46:24 KFN 1 VJ 2012 Kartenzahl			01700	4,15			0,00	
420	01401	Abziehbare Vorsteuer 7 %	24.02.20	318	OLB Ibis Wien City//Wien/AT/1 2020-02-20T10:28:01 KFN 1 VJ 2012 Kartenzahl			01700	20,73			0,00	
262	01401	Abziehbare Vorsteuer 7 %	28.02.20	221	OLB FLUGHAFEN MUENCHEN GMBH GIR 69128452020-02-28T00:09:21 KFN 1 VJ 2012 K			01700	1,96			0,00	
