Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
00520	Pkw	20.05.20	406,96	0,00	252,10	0,00	252,10	0,00	659,06	0,00
01401	Abziehbare Vorsteuer 7 %	04.05.20	0,00	0,00	151,97	10,34	151,97	10,34	141,63	0,00
01406	Abziehbare Vorsteuer 19 %	02.06.20	0,00	0,00	1.672,04	0,00	1.672,04	0,00	1.672,04	0,00
01460	Geldtransit	15.05.20	0,00	0,00	3.759,80	3.504,90	3.759,80	3.504,90	254,90	0,00
01600	Kasse	06.05.20	2.151,83	0,00	1.000,00	300,13	1.000,00	300,13	2.851,70	0,00
01700	Bank Girokonto Coba	02.06.20	0,00	3.835,00	11.815,23	22.924,65	11.815,23	22.924,65	0,00	14.944,42
01710	Bank Kreditkarte Coba	01.01.20	0,00	169,00	0,00	0,00	0,00	0,00	0,00	169,00
01720	Bank Tagesgeldkonto Coba	01.01.20	0,00	180,00	0,00	0,00	0,00	0,00	0,00	180,00
01730	Bank (Postbank 3)	15.04.20	0,00	803,45	2.000,00	2.145,66	2.000,00	2.145,66	0,00	949,11
01740	Bank Ing Diba	19.05.20	2.667,35	0,00	1.663,63	1.928,86	1.663,63	1.928,86	2.402,12	0,00
01750	Bank Kreditkarte2 Coba	01.01.20	2.334,41	0,00	0,00	0,00	0,00	0,00	2.334,41	0,00
02100	Privatentnahmen allgemein	27.05.20	0,00	0,00	104,68	0,00	104,68	0,00	104,68	0,00
02101	Privat Tanken	06.05.20	0,00	0,00	70,73	0,00	70,73	0,00	70,73	0,00
02102	Privat Restaurant	29.05.20	0,00	0,00	523,49	0,00	523,49	0,00	523,49	0,00
02104	Privat Miete	26.05.20	0,00	0,00	3.219,00	43,38	3.219,00	43,38	3.175,62	0,00
02105	Privat Reisen	27.02.20	0,00	0,00	775,58	163,63	775,58	163,63	611,95	0,00
02107	Privat Bussgeld	29.05.20	0,00	0,00	673,98	0,00	673,98	0,00	673,98	0,00
02109	Privat Versicherungen	01.06.20	0,00	0,00	1.058,30	0,00	1.058,30	0,00	1.058,30	0,00
02110	Privat Vereine	31.01.20	0,00	0,00	207,00	0,00	207,00	0,00	207,00	0,00
02111	Privat Freizeit	28.02.20	0,00	0,00	17,50	0,00	17,50	0,00	17,50	0,00
02112	Privatentnahmen Lebensmittel	26.05.20	0,00	0,00	526,59	0,00	526,59	0,00	526,59	0,00
02114	Privatentnahmen Kleidung	06.05.20	0,00	0,00	155,05	0,00	155,05	0,00	155,05	0,00
02118	Wohnungseinrichtung	30.01.20	0,00	0,00	11,99	0,00	11,99	0,00	11,99	0,00
02180	Privateinlagen	11.05.20	0,00	0,00	0,00	3.415,20	0,00	3.415,20	0,00	3.415,20
03820	Umsatzsteuervorauszahlungen	14.05.20	0,00	0,00	2.829,02	4.613,85	2.829,02	4.613,85	0,00	1.784,83
03845	USt frühere Jahre	01.01.20	301,13	0,00	0,00	0,00	0,00	0,00	301,13	0,00
04659	Unentgeltliche Erbringung einer sonstigen Leistung ohne USt	08.04.20	0,00	0,00	0,00	5.000,00	0,00	5.000,00	0,00	5.000,00
06300	Sonstige betriebliche Aufwendungen	02.01.20	0,00	0,00	176,47	0,00	176,47	0,00	176,47	0,00
06325	Gas, Strom, Wasser	19.05.20	0,00	0,00	0,03	0,00	0,03	0,00	0,03	0,00
06392	Zuwendungen, Spenden für mildtätige Zwecke	15.05.20	0,00	0,00	340,00	0,00	340,00	0,00	340,00	0,00
06430	Sonstige Abgaben	01.04.20	0,00	0,00	105,46	0,00	105,46	0,00	105,46	0,00
06495	Wartungskosten für Hard- und Software	05.05.20	0,00	0,00	355,95	0,00	355,95	0,00	355,95	0,00
06520	Kfz-Versicherungen	04.05.20	0,00	0,00	1.445,91	0,00	1.445,91	0,00	1.445,91	0,00
06530	Laufende Kfz-Betriebskosten	01.06.20	0,00	0,00	1.355,42	0,00	1.355,42	0,00	1.355,42	0,00
06540	Kfz-Reparaturen	17.04.20	0,00	0,00	380,27	0,00	380,27	0,00	380,27	0,00
06642	Eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil)	22.04.20	0,00	0,00	1.098,36	0,00	1.098,36	0,00	1.098,36	0,00
06670	Reisekosten Unternehmer	11.02.20	0,00	0,00	11,51	0,00	11,51	0,00	11,51	0,00
06673	Reisekosten Unternehmer, Fahrtkosten	04.05.20	0,00	0,00	613,26	0,00	613,26	0,00	613,26	0,00
06674	Reisekosten Unternehmer Verpflegungsmehraufwand	21.02.20	0,00	0,00	508,71	0,00	508,71	0,00	508,71	0,00
06680	Reisekosten UN Übernachtungsaufwand und Reisenebenkosten	19.03.20	0,00	0,00	2.148,20	147,66	2.148,20	147,66	2.000,54	0,00
06800	Porto	17.02.20	0,00	0,00	1,60	0,00	1,60	0,00	1,60	0,00
06805	Telefon	02.06.20	0,00	0,00	942,81	0,00	942,81	0,00	942,81	0,00
06810	Telefax und Internetkosten	15.05.20	0,00	0,00	289,29	0,00	289,29	0,00	289,29	0,00
06821	Fortbildungskosten 	27.03.20	0,00	0,00	495,00	0,00	495,00	0,00	495,00	0,00
06837	Aufwendungen für Lizenzen, Konzessionen	11.05.20	0,00	0,00	291,60	0,00	291,60	0,00	291,60	0,00
06845	Werkzeuge und Kleingeräte	29.05.20	0,00	0,00	1.020,32	0,00	1.020,32	0,00	1.020,32	0,00
06855	Nebenkosten des Geldverkehrs	29.05.20	0,00	0,00	71,41	0,00	71,41	0,00	71,41	0,00
07685	Kfz-Steuer	29.04.20	0,00	0,00	59,00	0,00	59,00	0,00	59,00	0,00
09000	Saldenvorträge Sachkonten	01.01.20	0,00	2.874,23	0,00	0,00	0,00	0,00	0,00	2.874,23
