"PK_INVENTAR";"INVENTAR";"ANSCHAFFUNGSDATUM";"ANSCHAFFUNGSJAHR";"ABSCHREIBUNGSDAUER";"RESTBUCHWERT_2018";"CREATED_BY";"CREATED_AT";"MODIFIED_BY";"MODIFIED_AT";"PREIS_NETTO";"MWST";"FK_STEUERSATZ";"PREIS_BRUTTO";"COMM";"LIZENZNUMMER";"ANFORDERUNGSCODE";"FK_INVENTARTYP";"KFZ_KENNZEICHEN";"FAHRGESTELLNR";"BEMERKUNGEN";"BILD";"ABGANGSJAHR";"ABGANGSDATUM";"ABGANGSWERT";"FK_VERWENDUNGSZWECK";"GWG";"RESTBUCHWERT_2017";"ABGANGSGRUND";"MAC_ADRESSE";"SERIENNUMMER";"GERÄTENAME";"OK";"OK_BEMERKUNGEN";"RESTBUCHWERT_2019";"INV_BILD";"INVENTARTYP";"PK_IMP_BA_ELEKTRONIK";"BEZEICHNUNG";"GWG_YN";"BEL_OLD_ART";"BEL_OLD_FK_IMP_BA_BEL";"BEL_OLD_PK_IMP_BA_ALLG_BEL";"BEL_OLD_BEZEICHNUNG";"BEL_OLD_KENNZEICHEN";"BEL_OLD_DATUM";"BEL_OLD_DATUM_VERGEHEN";"BEL_OLD_FK_ARBEITSTAG";"BEL_OLD_FK_BUCHUNG";"BEL_OLD_BETRAG";"BEL_OLD_WÄHRUNG";"BEL_OLD_STEUERSATZ";"BEL_OLD_MWST_BETRAG";"BEL_OLD_NETTO";"BEL_OLD_ZAHLUNGSART";"BEL_OLD_BILD";"BEL_OLD_BILD1";"BEL_OLD_VERWENDUNGSZWECK";"BEL_OLD_FK_INVENTAR";"BEL_OLD_FK_PROJEKT";"BEL_OLD_WÄHRUNG_BETRAG";"BEL_OLD_FK_KATEGORIE";"BEL_OLD_KATEGORIE";"BEL_OLD_PROJEKT";"BEL_OLD_INVENTAR";"BEL_OLD_FK_BELEG_ABLAGE"
21;"Office 2010";30.06.17 12:13:58,000000000;2017;;;"";;"";;;;;60;"";"";"";13;"";"";"";"";9999;31.12.99 06:33:05,158000000;;2;1;;"";"";"";"";"";"";;(BLOB);"Software";;"";"GWG";"ALLG_BELEG";2572;823;"fehlender Beleg Anschaffungskosten Office 2010, Paypalzahlung - Softbillig";"";"30.06.2017";"";;1001;"60";"";"";"";"";"Überweisung";(BLOB);(BLOB);"";21;;"";;"";"";"Office 2010";"842"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";794;1;"Atu, Moosacher STr.,  MŸnchen";"M-RO 2947";"06.08.2018 14:19:01";"";585;969;"115,48";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";797;2;"Trisl KG, Neukeferloh";"M-RO 2947";"30.07.2018";"";;841;"25";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";798;3;"Allguth Tankstelle, Unterfšhring";"M-ZO 523";"04.03.2018";"";;;"19,99";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";799;4;"FŸrholzen West, FŸrholzen";"M-ZO 523";"22.11.2017 21:23";"";;;"21,49";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";800;5;"Shell Station Erol Geyik GmbH, Eiffestr. 626, Hamburg";"M-RO 2947";"07.10.2018 19:24";"";;1317;"109,99";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";803;6;"Agip Service Station, Aschheim ";"M-ZO 523";"28.02.2018 20:24";"";;217;"26,99";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";804;7;"Nuova Sidap Castagnolo";"M-ZO 523";"26.05.2018 09:07";"";;38;"33,2";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";807;8;"AGip Service Station Hasan Akinci, Hauptstra§e 18, 82493 Klais";"M-ZO 523";"05.07.2018 16:24";"";;621;"23,65";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";808;9;"Esso Station, Einsteinstr. 168, 81675 MŸnchen";"M-ZO 523";"23.08.2017 18:25";"";;545;"28,99";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
